countryorigin_iso3,tq,row_count,measure_sum
PRY,2015q1,1,1461760
MDV,2015q3,4,1450424
AIA,2015q3,9,1429763
SLE,2015q4,4,1422141
PRI,2015q1,1,1345340
DOM,2015q3,12,1338150
SUR,2015q4,1,1323213
BOL,2015q3,2,1316648
UZB,2015q2,2,1314503
ATG,2015q4,1,1309184
BLZ,2015q1,1,1271144
TCD,2015q1,1,1218043
TCA,2015q1,3,1179955
MDV,2015q4,5,1053194
CIV,2015q3,2,1050125
NCL,2015q3,2,994870
ALB,2015q3,16,947695
MDV,2015q2,2,929194
SRB,2015q2,4,922778
CXR,2015q3,2,902440
GAB,2015q4,2,881001
VIR,2015q4,2,805756
CMR,2015q3,2,803306
CXR,2015q4,1,791253
SWZ,2015q3,1,782172
UGA,2015q2,3,765613
AZE,2015q2,1,737227
ARM,2015q4,4,730770
CYM,2015q1,6,712756
NPL,2015q3,6,692524
LSO,2015q4,1,688955
LBR,2015q3,1,672929
LBR,2015q2,1,659593
PLW,2015q3,1,654162
ASM,2015q3,1,625411
ATA,2015q3,1,594836
MDG,2015q4,2,589930
AFG,2015q3,3,567713
LVA,2015q1,3,549004
LAO,2015q1,2,518402
FJI,2015q2,2,513071
MDG,2015q2,1,498476
LBY,2015q1,1,495947
MLI,2015q3,2,481375
GHA,2015q3,5,480852
HTI,2015q1,4,474397
FJI,2015q1,1,473476
CAF,2015q3,1,443357
AZE,2015q4,1,403580
MDG,2015q3,1,371375
PYF,2015q1,1,359750
IRQ,2015q3,1,333495
ASM,2015q1,12,332513
GMB,2015q3,1,326710
IOT,2015q2,1,326167
GTM,2015q1,5,324567
LBN,2015q2,25,281180
ARM,2015q3,1,267772
TCA,2015q2,1,257393
BRB,2015q3,3,200872
MKD,2015q4,2,194890
IRQ,2015q2,1,180068
YEM,2015q2,1,168779
YEM,2015q4,3,163114
SYR,2015q4,2,161601
BOL,2015q4,2,161439
NAM,2015q1,3,155180
TCA,2015q4,5,153180
UMI,2015q4,1,153037
NRU,2015q3,1,150112
HTI,2015q4,2,144553
ALB,2015q2,1,138212
DOM,2015q1,1,117658
SWZ,2015q4,1,107599
SLE,2015q3,3,105698
GNQ,2015q1,1,103418
FSM,2015q4,2,102154
MDG,2015q1,1,94603
MKD,2015q3,1,86640
KNA,2015q3,1,83070
VEN,2015q4,2,80776
NER,2015q4,1,80418
BOL,2015q2,1,78574
ZAR,2015q2,1,65285
MCO,2015q4,1,61383
BRB,2015q1,3,60665
RWA,2015q3,1,58770
BWA,2015q3,2,55743
LBY,2015q2,1,52124
NPL,2015q4,5,51485
UGA,2015q3,1,51119
HTI,2015q3,1,46115
FJI,2015q3,2,39407
MNP,2015q4,6,34731
SEN,2015q4,4,33022
BEN,2015q4,1,30824
VIR,2015q3,1,29651
GUF,2015q2,1,29039
SLE,2015q1,1,26537
WSM,2015q4,1,26493
AFG,2015q4,2,20833
MNP,2015q3,5,17850
TGO,2015q4,1,15445
LSO,2015q3,1,13160
CPV,2015q4,1,10027
SLE,2015q2,1,8974
LAO,2015q4,1,4190
MNG,2015q2,2,4073
TTO,2015q4,1,3761
UGA,2015q4,1,3746
VEN,2015q3,1,2496
TJK,2015q4,1,1683
MNG,2015q3,1,892
